Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Costos,Ingresos,Utilidad Bruta,"Amort, Gastos Fin, Impuestos ",Utilidad Neta,ROS,Margen_Utilidad_Bruta,Rentabilidad_Costos,Rentabilidad_Bruta
2017-12-01,555,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,578.125,557.462899543379,501.26914954337894,56.19375000000001,0.09720000000000001,96.42601505615204,271.96533149171273,2697.997237569061
2017-12-01,862,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,897.9166666666667,877.2545662100457,789.9770662100457,87.27750000000002,0.09720000000000001,97.698884403903,422.4038121546962,4245.7182320442
2017-12-01,600,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,625.0,604.337899543379,543.587899543379,60.75000000000001,0.09720000000000001,96.69406392694063,294.0165745856354,2924.8618784530386
2017-12-01,426,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,443.75000000000006,423.0878995433791,379.9553995433791,43.13250000000001,0.09720000000000001,95.34375200977556,208.7517679558011,2047.651933701658
2017-12-01,405,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,421.87500000000006,401.2128995433791,360.20664954337906,41.00625000000001,0.09720000000000001,95.10231692880096,198.4611878453039,1941.7817679558016
2017-12-01,398,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,414.58333333333337,393.92123287671234,353.6237328767123,40.29750000000001,0.09720000000000001,95.01617677428237,195.03099447513813,1906.4917127071822
2017-12-01,323,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,336.45833333333337,315.79623287671234,283.0924828767123,32.70375000000001,0.09720000000000001,93.85894227914669,158.27892265193373,1528.3839779005525
2017-12-02,328,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,341.6666666666667,321.0045662100457,287.7945662100457,33.21000000000001,0.09720000000000002,93.95255596391581,160.7290607734807,1553.5911602209947
2017-12-02,308,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,320.83333333333337,300.17123287671234,268.98623287671234,31.185000000000006,0.09720000000000001,93.5598647927415,150.92850828729286,1452.7624309392265
2017-12-02,262,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,272.9166666666667,252.25456621004568,225.72706621004568,26.527500000000003,0.09720000000000001,92.42915403116176,128.38723756906077,1220.8563535911603
2017-12-02,167,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,173.95833333333334,153.29623287671234,136.38748287671234,16.90875,0.09720000000000001,88.1223853662538,81.83461325966852,741.9198895027625
2017-12-02,89,4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,92.70833333333334,72.04623287671234,63.034982876712334,9.011250000000002,0.09720000000000001,77.71279051870094,43.612458563535924,348.68784530386745
2017-12-02,79,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,82.29166666666667,61.62956621004567,53.630816210045666,7.998750000000001,0.09720000000000001,74.89162476157448,38.712182320442,298.27348066298345
2017-12-02,70,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,72.91666666666667,52.25456621004567,45.16706621004567,7.087500000000001,0.09720000000000001,71.66340508806263,34.30193370165747,252.90055248618785
2017-12-02,146,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,152.08333333333334,131.42123287671234,116.63873287671234,14.782500000000002,0.09720000000000001,86.41396134359167,71.54403314917128,636.0497237569061
2017-12-02,219,8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,228.12500000000003,207.46289954337902,185.289149543379,22.173750000000005,0.09720000000000001,90.94264089572778,107.31604972375692,1004.0745856353592
2017-12-02,328,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,341.6666666666667,321.0045662100457,287.7945662100457,33.21000000000001,0.09720000000000002,93.95255596391581,160.7290607734807,1553.5911602209947
2017-12-02,334,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,347.9166666666667,327.2545662100457,293.4370662100457,33.8175,0.09720000000000001,94.0611926831269,163.66922651933703,1583.839779005525
2017-12-02,388,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,404.1666666666667,383.5045662100457,344.2195662100457,39.285000000000004,0.09720000000000001,94.88772772207315,190.13071823204422,1856.0773480662983
2017-12-02,479,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,498.95833333333337,478.29623287671234,429.7974828767123,48.49875000000001,0.09720000000000001,95.85895272685676,234.72323204419894,2314.848066298343
2017-12-02,606,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,631.25,610.587899543379,549.230399543379,61.35750000000001,0.09720000000000001,96.72679596726795,296.95674033149174,2955.110497237569
2017-12-02,611,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,636.4583333333334,615.7962328767123,553.9324828767124,61.86375000000001,0.09720000000000001,96.75358159765037,299.4068784530387,2980.317679558011
2017-12-02,589,15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,613.5416666666667,592.8795662100457,533.2433162100457,59.63625000000001,0.09720000000000001,96.6323231853385,288.6262707182321,2869.4060773480664
2017-12-02,618,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,643.75,623.087899543379,560.515399543379,62.572500000000005,0.09720000000000001,96.79035332712684,302.83707182320444,3015.6077348066297
2017-12-02,572,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,595.8333333333334,575.1712328767123,517.2562328767124,57.915000000000006,0.09720000000000001,96.53223488839927,280.2958011049724,2783.7016574585637
2017-12-02,489,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,509.37500000000006,488.7128995433791,439.20164954337906,49.51125000000001,0.09720000000000001,95.94363672017256,239.62350828729288,2365.2624309392268
2017-12-02,385,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,401.0416666666667,380.3795662100457,341.3983162100457,38.98125,0.09720000000000001,94.8478918341932,188.66063535911604,1840.9530386740332
2017-12-02,359,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,373.95833333333337,353.29623287671234,316.94748287671234,36.34875000000001,0.09720000000000002,94.47475865226848,175.91991712707187,1709.875690607735
2017-12-02,377,21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,392.70833333333337,372.04623287671234,333.87498287671235,38.17125000000001,0.09720000000000001,94.73856327895062,184.7404143646409,1800.621546961326
2017-12-02,354,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,368.75,348.08789954337897,312.245399543379,35.8425,0.09720000000000001,94.39671852023837,173.46977900552488,1684.6685082872928
2017-12-02,366,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,381.25,360.58789954337897,323.53039954337896,37.057500000000005,0.09720000000000001,94.5804326671158,179.35011049723758,1745.1657458563534
2017-12-03,342,0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,356.25,335.58789954337897,300.96039954337897,34.627500000000005,0.09720000000000001,94.20011215252742,167.58944751381216,1624.1712707182319
2017-12-03,227,1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,236.45833333333334,215.79623287671234,192.81248287671232,22.983750000000004,0.09720000000000001,91.26184297869773,111.23627071823205,1044.4060773480662
2017-12-03,228,2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,237.50000000000003,216.83789954337902,193.75289954337902,23.085000000000004,0.09720000000000001,91.30016822879115,111.72629834254147,1049.4475138121547
2017-12-03,117,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,Winter,No Holiday,Yes,20.662100456621005,121.87500000000001,101.21289954337901,89.36664954337901,11.846250000000003,0.09720000000000001,83.04648167661867,57.33323204419891,489.8480662983426
2017-12-03,76,4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,79.16666666666667,58.50456621004567,50.809566210045666,7.695000000000001,0.09720000000000001,73.90050468637347,37.242099447513816,283.1491712707182
2017-12-03,32,5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,33.333333333333336,12.671232876712331,9.43123287671233,3.2400000000000007,0.09720000000000001,38.013698630136986,15.680883977900557,61.32596685082874
2017-12-03,13,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,Winter,No Holiday,Yes,20.662100456621005,13.541666666666668,-7.120433789954337,-8.436683789954337,1.3162500000000001,0.09720000000000001,-52.581664910432025,6.370359116022101,-34.46132596685082
2017-12-03,22,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,22.916666666666668,2.254566210045663,0.027066210045662675,2.2275000000000005,0.09720000000000002,9.838107098381075,10.780607734806633,10.911602209944757
2017-12-03,85,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,88.54166666666667,67.87956621004567,59.273316210045664,8.606250000000001,0.09720000000000001,76.66398066075746,41.652348066298345,328.5220994475138
2017-12-03,152,9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,Winter,No Holiday,Yes,20.662100456621005,158.33333333333334,137.67123287671234,122.28123287671234,15.390000000000002,0.09720000000000001,86.95025234318673,74.48419889502763,666.2983425414365
2017-12-03,200,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,208.33333333333334,187.67123287671234,167.42123287671234,20.250000000000004,0.09720000000000001,90.08219178082192,98.00552486187847,908.2872928176796
2017-12-03,273,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,284.375,263.71289954337897,236.07164954337895,27.641250000000003,0.09720000000000001,92.73420643283656,133.7775414364641,1276.3121546961324
2017-12-03,333,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,346.875,326.21289954337897,292.49664954337896,33.71625,0.09720000000000001,94.04335842692007,163.17919889502764,1578.7983425414363
2017-12-03,495,13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,515.625,494.96289954337897,444.844149543379,50.118750000000006,0.09720000000000001,95.99280475992803,242.5636740331492,2395.5110497237565
2017-12-03,563,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,586.4583333333334,565.7962328767123,508.7924828767123,57.00375000000001,0.09720000000000001,96.47679992213922,275.88555248618786,2738.328729281768
2017-12-03,621,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,646.875,626.212899543379,563.3366495433789,62.876250000000006,0.09720000000000001,96.80585886660931,304.3071546961326,3030.732044198895
2017-12-03,598,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,622.9166666666667,602.2545662100457,541.7070662100457,60.547500000000014,0.09720000000000001,96.68300728455583,293.0365193370166,2914.779005524862
2017-12-03,545,17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,567.7083333333334,547.0462328767123,491.86498287671236,55.181250000000006,0.09720000000000001,96.36043735076034,267.0650552486188,2647.582872928177
2017-12-03,443,18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,461.45833333333337,440.79623287671234,395.94248287671235,44.853750000000005,0.09720000000000001,95.52243421256068,217.08223756906077,2133.3563535911603
2017-12-03,422,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,439.58333333333337,418.92123287671234,376.1937328767123,42.727500000000006,0.09720000000000001,95.2996169577355,206.79165745856358,2027.486187845304
2017-12-03,397,20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,413.5416666666667,392.8795662100457,352.6833162100457,40.196250000000006,0.09720000000000001,95.00362306338637,194.54096685082877,1901.450276243094
2017-12-03,385,21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,401.0416666666667,380.3795662100457,341.3983162100457,38.98125,0.09720000000000001,94.8478918341932,188.66063535911604,1840.9530386740332
2017-12-03,350,22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,364.58333333333337,343.92123287671234,308.48373287671234,35.43750000000001,0.09720000000000001,94.33268101761252,171.50966850828732,1664.5027624309391
2017-12-03,303,23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,315.625,294.96289954337897,264.284149543379,30.678750000000004,0.09720000000000001,93.45359193453591,148.47837016574587,1427.5552486187844
2017-12-04,285,0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,296.875,276.21289954337897,247.35664954337898,28.856250000000003,0.09720000000000001,93.04013458303292,139.65787292817683,1336.809392265193
2017-12-04,186,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,193.75,173.087899543379,154.25539954337899,18.832500000000003,0.09720000000000002,89.33569008690529,91.14513812154698,837.7071823204419
2017-12-04,112,2,4.4,87,1.8,207,2.4,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,116.66666666666667,96.00456621004567,84.66456621004566,11.340000000000002,0.09720000000000001,82.28962818003914,54.88309392265194,464.64088397790056
2017-12-04,65,3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,67.70833333333334,47.04623287671234,40.464982876712334,6.581250000000002,0.09720000000000001,69.4836670179136,31.851795580110505,227.69337016574588
2017-12-04,41,4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,42.708333333333336,22.04623287671233,17.89498287671233,4.151250000000001,0.09720000000000002,51.620447711326435,20.09113259668509,106.69889502762433
2017-12-04,82,5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,85.41666666666667,64.75456621004567,56.452066210045665,8.302500000000002,0.09720000000000002,75.81022385566321,40.18226519337018,313.39779005524866
2017-12-04,200,6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,Winter,No Holiday,Yes,20.662100456621005,208.33333333333334,187.67123287671234,167.42123287671234,20.250000000000004,0.09720000000000001,90.08219178082192,98.00552486187847,908.2872928176796
2017-12-04,498,7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,518.75,498.08789954337897,447.66539954337895,50.42250000000001,0.09720000000000001,96.01694449028993,244.03375690607737,2410.635359116022
2017-12-04,937,8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,976.0416666666667,955.3795662100457,860.5083162100457,94.87125000000002,0.09720000000000001,97.88307188491396,459.15588397790066,4623.825966850829
2017-12-04,509,9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,530.2083333333334,509.54623287671234,458.00998287671234,51.53625000000001,0.09720000000000001,96.10302231073553,249.4240607734807,2466.0911602209944
2017-12-04,311,10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,323.95833333333337,303.29623287671234,271.80748287671236,31.488750000000007,0.09720000000000001,93.62198828348676,152.39859116022103,1467.8867403314919
2017-12-04,379,11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,394.7916666666667,374.1295662100457,335.7558162100457,38.37375000000001,0.09720000000000002,94.76632811652873,185.7204696132597,1810.7044198895028
2017-12-04,393,12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,409.37500000000006,388.7128995433791,348.9216495433791,39.79125000000001,0.09720000000000002,94.95276935410786,192.5808563535912,1881.284530386741
2017-12-04,391,13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,407.2916666666667,386.6295662100457,347.0408162100457,39.588750000000005,0.09720000000000001,94.92695231755597,191.6008011049724,1871.2016574585637
2017-12-04,338,14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,352.08333333333337,331.42123287671234,297.1987328767123,34.222500000000004,0.0972,94.13147442652183,165.6293370165746,1604.0055248618785
2017-12-04,341,15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,355.20833333333337,334.54623287671234,300.01998287671233,34.526250000000005,0.09720000000000001,94.18310368376652,167.0994198895028,1619.1298342541436
2017-12-04,375,16,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,390.625,369.96289954337897,331.99414954337897,37.96875,0.0972,94.71050228310501,183.76035911602207,1790.538674033149
2017-12-04,515,17,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,536.4583333333334,515.7962328767123,463.6524828767123,52.14375000000001,0.09720000000000001,96.1484239925522,252.36422651933705,2496.339779005525
2017-12-04,807,18,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,840.6250000000001,819.9628995433791,738.2541495433791,81.70875000000002,0.09720000000000001,97.54205496426813,395.4522928176797,3968.4392265193374
2017-12-04,568,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,591.6666666666667,571.0045662100457,513.4945662100457,57.51000000000001,0.09720000000000001,96.50781400733166,278.3356906077349,2763.53591160221
2017-12-04,398,20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,414.58333333333337,393.92123287671234,353.6237328767123,40.29750000000001,0.09720000000000001,95.01617677428237,195.03099447513813,1906.4917127071822
2017-12-04,397,21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,413.5416666666667,392.8795662100457,352.6833162100457,40.196250000000006,0.09720000000000001,95.00362306338637,194.54096685082877,1901.450276243094
2017-12-04,353,22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,367.70833333333337,347.04623287671234,311.3049828767123,35.74125000000001,0.09720000000000001,94.38084520159882,172.97975138121552,1679.6270718232045
2017-12-04,248,23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,258.33333333333337,237.67123287671237,212.56123287671235,25.110000000000007,0.09720000000000001,92.00176756517897,121.52685082872932,1150.2762430939229
2017-12-05,216,0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,225.00000000000003,204.33789954337902,182.46789954337902,21.870000000000005,0.09720000000000001,90.81684424150178,105.84596685082875,988.950276243094
2017-12-05,198,1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,206.25000000000003,185.58789954337902,165.540399543379,20.047500000000003,0.0972,89.98201189982012,97.02546961325969,898.2044198895029
2017-12-05,124,2,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,129.16666666666669,108.50456621004568,95.94956621004567,12.555000000000003,0.09720000000000001,84.00353513035793,60.76342541436466,525.1381215469614
2017-12-05,62,3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,64.58333333333334,43.92123287671234,37.643732876712335,6.277500000000002,0.09720000000000001,68.00707026071588,30.38171270718233,212.56906077348071
2017-12-05,42,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,43.75,23.087899543378995,18.835399543378994,4.2525,0.09720000000000001,52.772341813437706,20.581160220994477,111.7403314917127
2017-12-05,82,5,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,85.41666666666667,64.75456621004567,56.452066210045665,8.302500000000002,0.09720000000000002,75.81022385566321,40.18226519337018,313.39779005524866
2017-12-05,172,6,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,179.16666666666669,158.50456621004568,141.0895662100457,17.415000000000003,0.09720000000000001,88.46766486142084,84.28475138121549,767.1270718232046
2017-12-05,381,7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,396.875,376.21289954337897,337.63664954337895,38.57625,0.09720000000000001,94.79380145974903,186.70052486187848,1820.7872928176794
2017-12-05,812,8,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,845.8333333333334,825.1712328767123,742.9562328767123,82.21500000000002,0.09720000000000002,97.5571900937985,397.9024309392266,3993.6464088397793
2017-12-05,462,9,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,481.25000000000006,460.5878995433791,413.81039954337905,46.77750000000001,0.09720000000000001,95.70657652849435,226.39276243093929,2229.14364640884
2017-12-05,269,10,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,280.20833333333337,259.54623287671234,232.30998287671233,27.236250000000005,0.09720000000000001,92.62616489280438,131.81743093922654,1256.146408839779
